# SPDX-FileCopyrightText: 2026 Huang Rui <vowstar@gmail.com>
# SPDX-License-Identifier: MIT
# Chimera decode-dispatch golden table (decoder-equivalence reference).
# Generated from isa/h8300_base_cases.yaml mask/match; do not hand-edit.
# isa_word: bits[15:8]=first opcode byte, [7:0]=second byte.
# dispatch = ISA ground truth from the instruction table.
# pre_decoded_instr = coarse-decode formula over the byte-swapped RTL IR.
first_byte,sb_lo,sb_hi,pre_decoded_instr,dispatch
0x00,0x00,0x00,0x00,h8_nop
0x00,0x01,0xff,0x00,illegal
0x01,0x00,0x7f,0x01,illegal
0x01,0x80,0x80,0x01,h8_sleep
0x01,0x81,0xff,0x01,illegal
0x02,0x00,0x0f,0x02,h8_stc_ccr_r8
0x02,0x10,0xff,0x02,illegal
0x03,0x00,0x0f,0x03,h8_ldc_r8_ccr
0x03,0x10,0xff,0x03,illegal
0x04,0x00,0xff,0x04,h8_orc_imm_ccr
0x05,0x00,0xff,0x05,h8_xorc_imm_ccr
0x06,0x00,0xff,0x06,h8_andc_imm_ccr
0x07,0x00,0xff,0x07,h8_ldc_imm_ccr
0x08,0x00,0xff,0x08,h8_add8_r8_r8
0x09,0x00,0x07,0x09,h8_add16_r16_r16
0x09,0x08,0x0f,0x09,illegal
0x09,0x10,0x17,0x09,h8_add16_r16_r16
0x09,0x18,0x1f,0x09,illegal
0x09,0x20,0x27,0x09,h8_add16_r16_r16
0x09,0x28,0x2f,0x09,illegal
0x09,0x30,0x37,0x09,h8_add16_r16_r16
0x09,0x38,0x3f,0x09,illegal
0x09,0x40,0x47,0x09,h8_add16_r16_r16
0x09,0x48,0x4f,0x09,illegal
0x09,0x50,0x57,0x09,h8_add16_r16_r16
0x09,0x58,0x5f,0x09,illegal
0x09,0x60,0x67,0x09,h8_add16_r16_r16
0x09,0x68,0x6f,0x09,illegal
0x09,0x70,0x77,0x09,h8_add16_r16_r16
0x09,0x78,0xff,0x09,illegal
0x0a,0x00,0x0f,0x0a,h8_inc8_r8
0x0a,0x10,0xff,0x0a,illegal
0x0b,0x00,0x07,0x0b,h8_adds16_one_r16
0x0b,0x08,0x7f,0x0b,illegal
0x0b,0x80,0x87,0x0b,h8_adds16_two_r16
0x0b,0x88,0xff,0x0b,illegal
